date,checkpoint_sec,mins_left,BS,LL,ACC,model,run_id,eval_type,saved_at
2025-10-07,3000,50,0.1952595126530612,0.576791882737761,0.7346938775510204,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-10-07,2400,40,0.17065725863945577,0.5198075527538449,0.8095238095238095,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-10-07,1800,30,0.16873393353741495,0.5097557583964819,0.7687074829931972,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-10-07,1200,20,0.14211927585034012,0.4652485213800612,0.7959183673469388,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-10-07,600,10,0.1621000304082177,0.6084213356017341,0.782312925170068,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-10-07,120,2,0.2149251304083674,0.9958062473914884,0.7619047619047619,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-10-27,3000,50,0.21578211432432434,0.6208602451514462,0.6756756756756757,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-10-27,2400,40,0.19364142229729728,0.5790544726995475,0.722972972972973,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-10-27,1800,30,0.17755651398648647,0.5235198485792577,0.7432432432432432,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-10-27,1200,20,0.1986513298648716,0.6080210302459055,0.7094594594594594,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-10-27,600,10,0.21122032148652028,0.735797434978549,0.7162162162162162,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-10-27,120,2,0.2381148618245203,1.4265825735310385,0.7432432432432432,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-11-16,3000,50,0.17479832268965517,0.5286602241327039,0.7517241379310344,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-11-16,2400,40,0.1652239395862069,0.503539372145777,0.8,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-11-16,1800,30,0.1663376348275862,0.5188559639293148,0.7724137931034483,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-11-16,1200,20,0.15113700737931723,0.49879350503703784,0.8137931034482758,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-11-16,600,10,0.1643700601380138,0.673056923906195,0.7931034482758621,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-11-16,120,2,0.1915608040692621,1.0971725769299632,0.7931034482758621,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-12-06,3000,50,0.1834681736734694,0.5528508737705459,0.7551020408163265,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-12-06,2400,40,0.18746878571428574,0.5885232247481527,0.7755102040816326,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-12-06,1800,30,0.1386695682312925,0.4563952876703655,0.8503401360544217,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-12-06,1200,20,0.14248426945578913,0.4897086992960895,0.8299319727891157,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-12-06,600,10,0.16714391870755782,0.7126605176573177,0.7959183673469388,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-12-06,120,2,0.22112152523838774,1.4056769181546005,0.7619047619047619,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-12-26,3000,50,0.2060102132450331,0.6010816280606034,0.7019867549668874,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-12-26,2400,40,0.1812240415231788,0.5597238422863468,0.7615894039735099,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-12-26,1800,30,0.15148598099337748,0.488479215511776,0.7947019867549668,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-12-26,1200,20,0.1587111164900795,0.567689339179804,0.8145695364238411,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-12-26,600,10,0.1943882761590066,0.8939458218248955,0.7748344370860927,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2025-12-26,120,2,0.21228665622543708,1.4688147599848707,0.7748344370860927,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-01-15,3000,50,0.19451869875816993,0.5730476876202117,0.7058823529411765,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-01-15,2400,40,0.16597235732026144,0.5018419069291278,0.7908496732026143,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-01-15,1800,30,0.1618797235947712,0.5148131900084393,0.7973856209150327,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-01-15,1200,20,0.17467821261439215,0.5813836618480382,0.7777777777777778,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-01-15,600,10,0.19680563071901308,0.8292885476026447,0.7647058823529411,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-01-15,120,2,0.2426114652290065,1.5268513124261514,0.738562091503268,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-04,3000,50,0.21249615529411764,0.607870445150459,0.6470588235294118,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-04,2400,40,0.17438209470588237,0.5650488087417185,0.7647058823529411,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-04,1800,30,0.20399060411764708,0.6425697297387533,0.7058823529411765,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-04,1200,20,0.21157470470588235,0.747113042788295,0.7647058823529411,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-04,600,10,0.1704061035294706,0.866261104005638,0.8235294117647058,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-04,120,2,0.2199553429415294,1.9528633251678555,0.7647058823529411,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-24,3000,50,0.20018011766233765,0.5896009434351634,0.7012987012987013,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-24,2400,40,0.1718022701948052,0.5211895125044582,0.7857142857142857,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-24,1800,30,0.14461466461038963,0.4624832912390375,0.8246753246753247,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-24,1200,20,0.16211510512987012,0.5177932517954922,0.7857142857142857,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-24,600,10,0.17489775525977921,0.5706313441525565,0.7662337662337663,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-24,120,2,0.214984518766474,1.035723550012022,0.7662337662337663,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-03-16,3000,50,0.20065309905660378,0.5841066087437582,0.7232704402515723,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-03-16,2400,40,0.16305671553459117,0.492761361684356,0.7735849056603774,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-03-16,1800,30,0.1629952983018868,0.509429040455274,0.779874213836478,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-03-16,1200,20,0.19228305528302517,0.6157219267351391,0.7169811320754716,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-03-16,600,10,0.19045116628936476,0.7400692329437563,0.7735849056603774,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-03-16,120,2,0.1976422674845283,1.369356075557546,0.7924528301886793,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-04-05,3000,50,0.1910314737362637,0.5603159205252428,0.6923076923076923,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-04-05,2400,40,0.17262488274725277,0.518701489858572,0.7802197802197802,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-04-05,1800,30,0.16660157384615384,0.511783366536952,0.7802197802197802,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-04-05,1200,20,0.17697033582417582,0.5833516624118253,0.7802197802197802,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-04-05,600,10,0.19265265307697804,0.8606192773825686,0.7692307692307693,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-04-05,120,2,0.23598506835198896,1.5498586256392703,0.7472527472527473,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
